update,gameplay_rollouts,trade_rollouts,epsilon,replay_size,gameplay_reward,gameplay_reward_avg_logged,trade_reward,trade_reward_avg_logged,trade_propose,trade_accept,trade_reject,trade_counter,trade_skip,dqn_td_loss,dqn_q_mean,dqn_target_q_mean,trade_policy_loss,trade_value_loss,trade_entropy,tom_loss,gameplay_reward_ma10,trade_reward_ma10,dqn_td_loss_ma10,dqn_q_mean_ma10,dqn_target_q_mean_ma10,trade_policy_loss_ma10,trade_value_loss_ma10,trade_entropy_ma10,tom_loss_ma10,epsilon_ma10,trade_propose_rate,trade_accept_rate,trade_reject_rate,trade_counter_rate,trade_skip_rate
50,135,80,0.8784,6511,0.0107,0.0155,0.0065,0.0052,39,35,3,0,3,0.021,0.1199,0.1399,13934208.5,0.7297,0.6775,2.316,0.01488,0.0048000000000000004,0.016900000000000002,0.13566,0.13519,12928355.28125,0.55733,1.43484,2.27202,0.8893500000000001,0.4875,0.4375,0.0375,0.0,0.0375
51,127,85,0.876,6638,0.0154,0.0151,0.0051,0.0052,41,42,0,0,2,0.029,0.1233,0.1524,9482842.5,0.7786,0.4686,2.3718,0.0158,0.00461,0.01805,0.13019,0.13516,12595367.80625,0.58543,1.3452,2.28125,0.8869200000000002,0.4823529411764706,0.49411764705882355,0.0,0.0,0.023529411764705882
52,127,86,0.8735,6765,0.0266,0.0153,0.0071,0.0052,43,43,0,0,0,0.0175,0.1339,0.15,4799215.375,0.5646,0.7107,2.4063,0.01816,0.00511,0.017660000000000002,0.12905000000000003,0.13718999999999998,12891838.54375,0.59258,1.22993,2.29546,0.8844800000000002,0.5,0.5,0.0,0.0,0.0
53,142,74,0.8711,6907,0.04,0.0156,0.0059,0.0052,36,33,1,0,4,0.0195,0.1489,0.1437,11125691.5,0.4992,1.1479,2.3325,0.02084,0.00556,0.01837,0.12993,0.13874,12288579.09375,0.59309,1.15517,2.30254,0.8820499999999999,0.4864864864864865,0.44594594594594594,0.013513513513513514,0.0,0.05405405405405406
54,130,82,0.8687,7037,0.0258,0.0166,0.0057,0.0053,39,39,1,0,3,0.0227,0.1245,0.1334,5002819.5,0.5578,1.0824,2.3096,0.022539999999999998,0.00587,0.01949,0.13008,0.14067,11107844.49375,0.59853,1.07783,2.30654,0.8796200000000001,0.47560975609756095,0.47560975609756095,0.012195121951219513,0.0,0.036585365853658534
55,133,81,0.8662,7170,0.0109,0.017,0.005,0.0053,39,36,3,0,3,0.0259,0.1275,0.1679,10696536.75,0.5681,1.0443,2.2494,0.02359,0.00586,0.019889999999999998,0.12830999999999998,0.14196,10929737.91875,0.59992,1.01879,2.30675,0.8771800000000001,0.48148148148148145,0.4444444444444444,0.037037037037037035,0.0,0.037037037037037035
56,127,85,0.8638,7297,0.0144,0.0168,0.0043,0.0052,37,36,1,3,8,0.0253,0.1238,0.1539,3038081.9375,0.5473,1.3321,2.1828,0.02006,0.00562,0.02114,0.1298,0.14614,10997932.88125,0.5999199999999999,1.0146899999999999,2.3005400000000003,0.87475,0.43529411764705883,0.4235294117647059,0.011764705882352941,0.03529411764705882,0.09411764705882353
57,138,75,0.8614,7435,0.0389,0.0181,0.0041,0.0053,31,29,3,2,10,0.024,0.1492,0.1526,2410261.75,0.5035,1.7147,2.1881,0.02288,0.00534,0.021120000000000003,0.13349,0.14688,9962373.18125,0.59541,1.04965,2.29291,0.87232,0.41333333333333333,0.38666666666666666,0.04,0.02666666666666667,0.13333333333333333
58,125,85,0.8589,7560,0.0228,0.0185,0.001,0.0049,25,15,8,15,22,0.027,0.1939,0.1504,4663604.125,0.4975,2.0064,2.2216,0.02294,0.0049299999999999995,0.022770000000000002,0.13726,0.14841000000000001,8809530.29375,0.58736,1.1331499999999999,2.28642,0.86988,0.29411764705882354,0.17647058823529413,0.09411764705882353,0.17647058823529413,0.25882352941176473
59,137,71,0.8565,7697,0.008,0.0175,0.0005,0.0047,17,11,8,5,30,0.0138,0.191,0.1583,4539028.625,0.4983,1.9249,2.2119,0.02135,0.00452,0.02257,0.14359000000000002,0.15025,6969229.05625,0.57446,1.21095,2.279,0.86745,0.23943661971830985,0.15492957746478872,0.11267605633802817,0.07042253521126761,0.4225352112676056
60,128,86,0.8541,7825,0.0367,0.0194,0.0025,0.0045,32,15,17,11,11,0.0264,0.1216,0.1334,4094474.375,0.5114,1.8328,2.177,0.02395,0.00412,0.02311,0.14376,0.1496,5985255.64375,0.55263,1.32648,2.2651,0.86502,0.37209302325581395,0.1744186046511628,0.19767441860465115,0.12790697674418605,0.12790697674418605
61,140,73,0.8516,7965,0.0361,0.0209,0.0011,0.0042,27,14,13,4,15,0.0257,0.1072,0.1621,16411254.0,0.5166,1.6324,2.1522,0.026019999999999998,0.00372,0.02278,0.14215,0.15057,6678096.79375,0.5264300000000001,1.44286,2.24314,0.86258,0.3698630136986301,0.1917808219178082,0.1780821917808219,0.0547945205479452,0.2054794520547945
62,121,93,0.8492,8086,0.0239,0.022,0.0018,0.0041,33,15,18,21,6,0.0189,0.1399,0.1374,642280.3438,0.5262,1.6009,2.1174,0.025750000000000002,0.0031899999999999997,0.02292,0.14275,0.14931,6262403.29063,0.52259,1.5318800000000001,2.21425,0.86015,0.3548387096774194,0.16129032258064516,0.1935483870967742,0.22580645161290322,0.06451612903225806
63,98,124,0.8468,8184,0.0169,0.0221,0.0003,0.0041,33,18,11,58,4,0.0171,0.1432,0.1374,38946347.0,0.5095,1.5884,2.067,0.02344,0.00263,0.02268,0.14218000000000003,0.14868,9044468.84063,0.52362,1.57593,2.1877,0.8577199999999999,0.2661290322580645,0.14516129032258066,0.08870967741935484,0.46774193548387094,0.03225806451612903
64,102,117,0.8444,8286,0.0256,0.023,-0.0002,0.0039,36,24,11,44,2,0.0194,0.1684,0.1408,11936970.25,0.4958,1.6696,2.0296,0.023420000000000003,0.0020399999999999997,0.022350000000000002,0.14657,0.14942000000000003,9737883.915630002,0.5174199999999999,1.63465,2.1597,0.8552899999999999,0.3076923076923077,0.20512820512820512,0.09401709401709402,0.37606837606837606,0.017094017094017096
65,109,105,0.8419,8395,0.0118,0.0236,0.0012,0.0037,35,34,3,28,5,0.0152,0.1501,0.1318,10353610.5,0.5076,1.4618,1.9509,0.02351,0.00166,0.02128,0.14883000000000002,0.14581,9703591.290630002,0.51137,1.6764,2.12985,0.8528600000000001,0.3333333333333333,0.3238095238095238,0.02857142857142857,0.26666666666666666,0.047619047619047616
