game,winner,controlled_win,controlled_vp,winner_vp,turns,steps,avg_reward,largest_army,played_knights,dev_cards_bought,held_dev_cards,hidden_vp_cards,longest_road_award,longest_road_length,settlements,cities,roads,build_efficiency,brick_wood_balance,truncated
515,WHITE,1,10,10,43,686,0.004670553935860058,0,0,0,0,0,1,6,2,3,11,0.17647058823529413,1.0,0
516,ORANGE,0,6,10,57,913,7.667031763417364e-06,0,0,2,0,1,1,10,1,1,15,0.07526881720430108,0.25,0
517,ORANGE,0,4,10,109,1745,0.00022922636103151864,0,0,2,0,1,0,3,1,1,7,0.08860759493670886,0.0,0
518,BLUE,0,4,10,64,1020,0.0004696078431372549,0,2,3,0,1,0,4,1,1,12,0.07954545454545454,0.0,0
519,ORANGE,0,7,10,58,938,0.00025692963752665243,0,1,3,0,0,1,8,5,0,15,0.12,0.14285714285714285,0
520,RED,0,9,10,105,1683,0.0014741532976827094,1,6,7,0,1,0,4,0,3,5,0.13253012048192772,1.0,0
521,BLUE,0,4,10,65,1032,0.00015697674418604652,0,0,2,0,2,0,4,2,0,5,0.12244897959183673,1.0,0
522,ORANGE,0,7,10,67,1052,-0.00012167300380228139,0,1,1,0,0,1,8,5,0,15,0.12162162162162163,0.25,0
523,RED,0,3,10,65,1030,0.0004281553398058253,0,3,6,1,1,0,3,2,0,7,0.07042253521126761,0.0,0
524,RED,0,3,10,57,970,0.00018762886597938145,0,3,4,0,0,0,5,3,0,10,0.06666666666666667,0.0,0
525,WHITE,1,10,10,56,913,0.003710843373493976,1,3,8,0,1,1,11,5,0,15,0.11688311688311688,0.6666666666666666,0
526,BLUE,0,4,10,83,1239,0.00022276029055690074,0,4,5,0,0,1,5,2,0,8,0.11764705882352941,0.0,0
527,WHITE,1,10,10,70,1129,0.0034508414526129316,0,4,6,0,1,1,11,3,2,15,0.12359550561797752,1.0,0
528,NONE,0,6,8,124,2000,0.0009395,1,5,7,0,1,0,6,3,0,7,0.1,0.0,1
529,RED,0,2,10,116,1743,0.0001227768215720023,0,5,5,0,0,0,3,2,0,7,0.07792207792207792,0.0,0
